# generated from hanzi_chaizi simplified data; see THIRD_PARTY_NOTICES.md
yijue	丁	ding	一+亅	4011
yibao	万	wan	一+勹	25941
yidao	万	wan	一+刀	25941
yiyi	丈	zhang	一+乂	305
yier	三	san	一+二	26761
yiyiyi	三	san	一+一+一	26761
yieyi	上	shang	一+丨+一	284918
dianeyi	上	shang	丶+丨+一	284918
yibu	下	xia	一+卜	163638
yiedian	下	xia	一+丨+丶	163638
yipiee	丌	ji	一+丿+丨	78
yipieedian	不	bu	一+丿+丨+丶	590643
xiabao	丐	gai	下+勹	128
zhengpie	丐	gai	正+丿	128
yueyi	且	qie	月+一	12175
buyi	丕	pi	不+一	143
nianeyi	世	shi	廿+丨+一	3253
niane	丗	shi	廿+丨	90
changgong	丘	qiu	厂+工	725
yirenjiong	丙	bing	一+人+冂	683
zhengyi	丞	cheng	氶+一	160
piequ	丢	diu	丿+去	5594
yishanjiong	両	liang	一+山+冂	7
diandiane	丫	ya	丶+丶+丨	5309
koue	中	zhong	口+丨	243213
pieere	丰	feng	丿+二+丨	1689
sane	丰	feng	三+丨	1689
koukoue	串	chuan	口+口+丨	1399
zhongkou	串	chuan	中+口	1399
chuanpie	丳	chan	串+丿	2
dianjiu	丸	wan	丶+九	1024
jiongdianyi	丹	dan	冂+丶+一	2418
dianwang	主	zhu	丶+王	10842
jingdian	丼	jing	井+丶	4
pieru	久	jiu	丿+入	8100
pieqi	乇	zhe	丿+七	67
piezhi	乏	fa	丿+之	328
qiupie	乒	ping	丘+丿	41
qiudian	乓	pang	丘+丶	25
changyipo	乕	hu	厂+一+巿	8
changerjin	乕	hu	厂+二+巾	8
qianbei	乖	guai	千+北	18529
hebei	乘	cheng	禾+北	2409
hepanbi	乘	cheng	禾+丬+匕	2409
pieyi	九	jiu	丿+乙	5217
pieyiyi	乞	qi	丿+一+乙	203
shanyi	乢	gai	山+乙	118
zhanyi	乩	ji	占+乙	11
fuyi	乳	ru	孚+乙	1092
shayi	乷	sha	沙+乙	3
yishi	干	gan	一+十	22116
zhuamiyi	乿	zhi	爪+糸+乙	7
guiri	亀	gui	龟+日	6
guiyue	亀	gui	龟+曰	6
daoridian	亀	gui	刀+日+电	6
sheyi	乱	luan	舌+乙	12576
yiyi	亄	yi	壹+乙	3
yikouyu	事	shi	一+口+聿	38942
yiyi	二	er	一+一	20319
yiding	亍	chu	一+丁	80
erjue	于	yu	二+亅	73708
ersi	云	yun	二+厶	8398
yiji	互	hu	一+彑	1223
yiji	亓	qi	一+丌	109
erpiee	井	jing	二+丿+丨	2051
yidan	亘	gen	一+旦	63
erri	亘	gen	二+日	63
cier	些	xie	此+二	21951
yiye	亚	ya	一+业	4107
dianyi	亠	wen	丶+一	73
dianxi	亡	wang	丶+匸	738
wenji	亢	kang	亠+几	146
wenfu	交	jiao	亠+父	14714
wenpiejueba	亦	yi	亠+丿+亅+八	5497
wenkoule	亨	heng	亠+口+了	489
wenkouzi	享	xiang	亠+口+子	608
wenkouxiao	京	jing	亠+口+小	2347
wenrixiao	亰	jing	亠+日+小	4
wenkoujiongzhe	亳	bo	亠+口+冂+乇	25
wenhuidan	亶	dan	亠+回+旦	27
wenxin	亹	men	亠+舋	8
piee	亻	ren	丿+丨	30
renyi	亼	ji	人+一	95
renshi	什	shen	人+十	890
rener	仁	ren	人+二	2400
renli	仂	le	人+力	139
rending	仃	ding	人+丁	17
changren	仄	ze	厂+人	152
renbu	仆	pu	人+卜	181
renjiu	仇	chou	人+九	664
renba	仈	ba	人+八	10
renji	仉	zhang	人+几	8
renpiee	介	jie	人+丿+丨	1122
rennai	仍	reng	人+乃	8751
rensi	仏	fo	人+厶	4
renzi	仔	zai	人+子	1416
renshi	仕	shi	人+士	761
renye	他	ta	人+也	343908
renzhang	仗	zhang	人+丈	541
rencun	付	fu	人+寸	6081
renshan	仙	xian	人+山	2749
renshan	仚	xian	人+山	4
rengong	仜	hong	人+工	7
jiongyikou	同	tong	冂+一+口	24012
renren	仞	ren	人+刃	52
renqian	仟	qian	人+千	183
renqi	仡	ge	人+乞	3
renyi	代	dai	人+弋	5504
renyidan	令	ling	人+一+卩	7764
rensan	仨	sa	人+三	328
renme	仫	mu	人+么	7
renren	仭	ren	人+刄	7
renfan	仮	fan	人+反	5
renyang	仰	yang	人+卬	425
renjin	仱	qian	人+今	7
renzhong	仲	zhong	人+中	3273
renbi	仳	pi	人+比	10
renyue	仴	wo	人+月	6
renwu	仵	wu	人+午	28
renniu	件	jian	人+牛	7286
renren	任	ren	人+壬	7851
renwang	仼	wang	人+王	5
renfen	份	fen	人+分	6408
renfang	仿	fang	人+方	1252
rengong	伀	zhong	人+公	10
renzhi	企	qi	人+止	1179
renpo	伂	pei	人+巿	6
renyu	伃	yu	人+予	5
rendiao	伄	diao	人+弔	5
rentun	伅	dun	人+屯	10
renxin	伈	xin	人+心	16
renkang	伉	kang	人+亢	13
renyin	伊	yi	人+尹	3849
renji	伋	ji	人+及	8
renwu	伍	wu	人+五	1069
renzhi	伎	ji	人+支	83
renquan	伏	fu	人+犬	826
renge	伐	fa	人+戈	10721
renmu	休	xiu	人+木	2127
renjin	伒	yin	人+斤	9
renbu	伓	pi	人+不	7
renrong	伔	shen	人+冗	4
renfu	伕	fu	人+夫	8
renhuo	伙	huo	人+火	271
renzu	伜	zu	人+卆	5
renya	伢	ya	人+牙	85
renxuan	伭	xian	人+玄	5
renbai	伯	bo	人+白	1525
rengu	估	gu	人+古	426
renni	伲	ni	人+尼	14
renshi	伳	xie	人+世	6
renban	伴	ban	人+半	1657
renling	伶	ling	人+令	174
renshen	伸	shen	人+申	997
renqie	伹	zu	人+且	4
rensi	伺	si	人+司	66
renping	伻	beng	人+平	6
renyi	似	si	人+以	3298
renjia	伽	ga	人+加	335
renpi	伾	pi	人+丕	13
renzhi	伿	yi	人+只	3
rentai	佁	yi	人+台	4
rentian	佃	dian	人+田	48
rendan	但	dan	人+旦	115581
renbaoyi	伫	zhu	人+宀+一	48
renbaodingzhu	伫	zhu	人+宀+丁+佇	48
yipiejin	布	bu	一+丿+巾	4781
renqu	佉	qu	人+去	13
renci	佌	ci	人+此	7
renli	位	wei	人+立	14033
rendi	低	di	人+氐	15738
renzhu	住	zhu	人+主	21924
renzuo	佐	zuo	人+左	1852
renyou	佑	you	人+右	608
renyang	佒	yang	人+央	6
renzhan	佔	zhan	人+占	20
renke	何	he	人+可	6636
renbi	佖	bi	人+必	7
renta	佗	tuo	人+它	53
renshi	佘	she	人+示	257
renyuba	余	yu	人+于+八	4431
renshi	佚	yi	人+失	83
renfu	佛	fo	人+弗	4148
renzha	作	zuo	人+乍	19307
renju	佝	gou	人+句	7
renernv	佞	ning	人+二+女	30
rendong	佟	tong	人+冬	395
rener	你	ni	人+尔	973526
renxian	佡	xian	人+仚	7
renju	佢	qu	人+巨	2904
renyong	佣	yong	人+用	103
renwa	佤	wa	人+瓦	31
renka	佧	ka	人+卡	7
renhui	佪	hui	人+回	6
renge	佫	he	人+各	5
renlao	佬	lao	人+老	686
renhe	佮	ge	人+合	4
renyang	佯	yang	人+羊	97
renbai	佰	bai	人+百	274
rengui	佳	jia	人+圭	2904
rentutu	佳	jia	人+土+土	2904
rener	佴	nai	人+耳	3
renji	佶	ji	人+吉	22
rengen	佷	heng	人+艮	41
renshe	佸	huo	人+舌	44
renwei	佹	gui	人+危	31
renquan	佺	quan	人+全	37
renzhao	佻	tiao	人+兆	15
renjiao	佼	jiao	人+交	18
renci	佽	ci	人+次	19
renbayue	佾	yi	人+八+月	13
renbarou	佾	yi	人+八+肉	13
renli	使	shi	人+吏	34422
renxing	侀	xing	人+刑	17
renxian	侁	shen	人+先	10
renguangzhe	侂	tuo	人+广+乇	14
renkouchuan	侃	kan	人+口+川	543
renzhi	侄	zhi	人+至	100
renhai	侅	hai	人+亥	5
yimi	来	lai	一+米	233997
renyi	侇	yi	人+夷	11
renduo	侈	chi	人+多	31
renkua	侉	kua	人+夸	9
renguang	侊	guang	人+光	7
renlie	例	li	人+列	2655
rensi	侍	shi	人+寺	363
renzhu	侏	zhu	人+朱	27
renxue	侐	xu	人+血	4
renyou	侑	you	人+有	71
renan	侒	an	人+安	4
renmou	侔	mou	人+牟	21
rener	侕	er	人+而	5
renbi	仑	lun	人+匕	200
rentong	侗	dong	人+同	44
renzhai	侘	cha	人+宅	6
renxun	侚	xun	人+旬	5
rengong	供	gong	人+共	4781
renzhou	侜	zhou	人+舟	4
renyi	依	yi	人+衣	3390
renru	侞	ru	人+如	7
renjie	价	jia	人+介	5685
renwang	侫	ning	人+忘	5
renjin	侭	jin	人+尽	2
renmei	侮	wu	人+每	45
renchen	侲	zhen	人+辰	4
renzuo	侳	zuo	人+坐	3
renlv	侣	lv	人+吕	241
renju	侷	ju	人+局	3
renting	侹	ting	人+廷	5
rencen	侺	shen	人+岑	2
rendui	侻	tuo	人+兌	4
rengeng	便	bian	人+更	16095
rentuo	俀	tui	人+妥	4
renwu	俣	yu	人+吴	14
piemi	系	xi	丿+糸	23892
pieyaoxiao	系	xi	丿+幺+小	23892
renzu	促	cu	人+足	1409
renwo	俄	e	人+我	11525
renqiu	俅	qiu	人+求	11
renkuang	俇	guang	人+狂	4
renwu	俉	wu	人+吾	4
renqun	俊	jun	人+夋	2406
renyi	俋	yi	人+邑	6
renliang	俍	liang	人+良	4
renrenqie	俎	zu	人+人+且	41
renxiao	俏	qiao	人+肖	369
renli	俐	li	人+利	176
renyong	俑	yong	人+甬	80
renfou	俖	pei	人+否	2
rengu	俗	su	人+谷	1370
renfu	俘	fu	人+孚	61
renxi	俙	xi	人+希	3
renli	俚	li	人+里	35
renmian	俛	mian	人+免	7
renping	俜	ping	人+甹	4
rendai	保	bao	人+呆	4532
renyiyuedao	俞	shu	人+一+月+刀	510
renyi	俟	si	人+矣	66
renjia	侠	xia	人+夹	855
renyan	信	xin	人+言	11312
rendi	俤	di	人+弟	8
yousan	修	xiu	攸+彡	6710
renfu	俯	fu	人+府	194
renju	俱	ju	人+具	1027
renfei	俳	pai	人+非	16
renbiao	俵	biao	人+表	8
renshu	俶	ti	人+叔	14
renfei	俷	fei	人+肥	22
renfeng	俸	feng	人+奉	56
renyan	俺	an	人+奄	16897
renbei	俾	bi	人+卑	1617
renhu	俿	hu	人+虎	6
renchang	伥	chang	人+长	14
renbing	併	bing	人+并	10
renzu	倅	zu	人+卒	4
renliang	俩	lia	人+两	5217
renwan	倇	wan	人+宛	4
rendan	仓	cang	人+卩	2113
rene	个	ge	人+丨	245957
renguan	倌	guan	人+官	56
renlikou	倍	bei	人+立+口	3368
rendian	倎	tian	人+典	12
youquan	倏	shu	攸+犬	44
renmen	们	men	人+门	65806
rendao	倒	dao	人+到	13603
renyan	倓	tan	人+炎	12
renqu	倔	jue	人+屈	146
renchui	倕	zhui	人+垂	11
tuyang	幸	xing	土+羊	881
renpeng	倗	ping	人+朋	6
renshang	倘	tang	人+尚	183
houe	候	hou	侯+丨	941
renqi	倚	yi	人+奇	622
renqi	倛	qi	人+其	6
renzhou	倜	ti	人+周	24
renjing	倞	liang	人+京	4
renxi	借	jie	人+昔	7169
renzhui	倠	sui	人+隹	3
renchang	倡	chang	人+昌	97
renqie	倢	jie	人+疌	4
renfang	倣	fang	人+放	9
renzhi	値	zhi	人+直	12
renkong	倥	kong	人+空	13
renjuan	倦	juan	人+卷	285
renzong	倧	zong	人+宗	5
renju	倨	ju	人+居	16
renqing	倩	qian	人+青	599
rener	倪	ni	人+兒	894
renlun	伦	lun	人+仑	1356
renzhuo	倬	zhuo	人+卓	34
renwei	倭	wo	人+委	157
renguo	倮	luo	人+果	24
rensong	倯	song	人+松	3
renling	倰	ling	人+夌	3
renkun	倱	hun	人+昆	4
renshi	倳	zi	人+事	11
renwu	倵	wu	人+武	7
renju	倶	ju	人+具	12
rennai	倷	nai	人+奈	10
renqian	俭	jian	人+佥	224
renye	倻	ye	人+耶	6
renzhi	值	zhi	人+直	9175
renying	偀	ying	人+英	4
renqian	偂	jian	人+前	7
renyan	偃	yan	人+匽	78
renzhong	偅	tong	人+重	15
renchun	偆	chun	人+春	11
renhe	偈	ji	人+曷	70
renwei	伟	wei	人+韦	2561
renyu	偊	yu	人+禹	6
renping	偋	bing	人+屏	6
renruo	偌	ruo	人+若	38
renshi	偍	ti	人+是	8
renwei	偎	wei	人+畏	82
renbian	偏	pian	人+扁	3153
renyan	偐	yan	人+彦	11
renwu	偓	wo	人+屋	30
renjie	偕	xie	人+皆	121
renzhe	偖	che	人+者	6
rensheng	偗	sheng	人+省	6
rengu	做	zuo	人+故	154137
rencha	偛	cha	人+臿	11
renting	停	ting	人+亭	5939
renbei	偝	bei	人+背	7
renhuang	偟	huang	人+皇	9
renyao	偠	yao	人+要	13
renshen	偡	zhan	人+甚	4
renqiu	偢	zou	人+秋	6
renyin	偣	yan	人+音	7
renqiu	偤	you	人+酋	7
renjian	健	jian	人+建	1820
renzha	偨	ci	人+奓	8
rendai	偫	zhi	人+待	3
rencong	偬	zong	人+怱	10
renmian	偭	mian	人+面	4
renqi	偮	ji	人+咠	5
renai	偯	yi	人+哀	5
renqi	偰	xie	人+契	9
rensi	偲	cai	人+思	10
renzhuan	偳	duan	人+耑	4
renze	侧	ce	人+则	2221
renzhen	侦	zhen	人+贞	100
renyu	偶	ou	人+禺	24864
renshu	偷	tou	人+俞	3462
renzan	偺	zan	人+昝	10
renwei	伪	wei	人+为	978
